order_id,item_id,item_name,qtt,InsertTime
17047734,7450,שתי זוגות גרביון לבן 70 דנייר דיגום עדין collanta מידה 5-6,1,2024-03-10 13:18:52.670
17047734,7581,זוג סינרים לפעוטות - בנות,1,2024-03-10 13:18:52.670
17047734,6156,שישיית גרביוני כותנה לבן בדיגום עדין מידה 4-5,1,2024-03-10 13:18:52.670
17047734,8095,שתי זוגות  גרביון לילדות 60 דנייר שחור עם נקודות כסף - מידה 5-6,1,2024-03-10 13:18:52.670
17073010,8099,זוג ירכוני נשים 80 דנייר אטום שחור,1,2024-03-10 13:18:52.670
17036893,1922,לבנים צבעוניות ילדות שמינייה מידה 2-4,1,2024-03-10 13:18:52.670
17056586,8157,שתי זוגות גרביון לילדות 80 דנייר שחור אטום מידה 4-6,1,2024-03-10 13:18:52.670
17084769,7834,שישיית גרביונים בצבע כחול 70 דנייר מידה 10-12,1,2024-03-10 13:18:52.670
17084769,6517,תשיעיית גרבי גברים 42-45 - אריזת חיסכון,1,2024-03-10 13:18:52.670
17051605,2090,ציצית מוכנה לגברים מידה 9,1,2024-03-10 13:18:52.670
17065756,7980,שתי זוגות גרביון לילדות 48 דנייר שחור - מידה 2-4,1,2024-03-10 13:18:52.670
17047104,7450,שתי זוגות גרביון לבן 70 דנייר דיגום עדין collanta מידה 5-6,1,2024-03-10 13:18:52.670
17062329,8253,חפתים בקופסא דגם עגול כסף,1,2024-03-10 13:18:52.670
17075628,2090,ציצית מוכנה לגברים מידה 9,1,2024-03-10 13:18:52.670
17065249,907,תמיסה לעדשות דיספו,1,2024-03-10 13:18:52.670
17052595,1951,זוג ציציות מוכנות לילדים מידה 5,1,2024-03-10 13:18:52.670
17052595,5627,זוג חולצות טריקו קצרות לילדים (גוונים קייציים) מידה 6,1,2024-03-10 13:18:52.670
17052595,5628,זוג חולצות טריקו קצרות לילדים (גוונים קייציים) מידה 8,1,2024-03-10 13:18:52.670
17052595,8232,זוג חולצות טריקו קצרות לילדים (גוונים בייסיק) מידה 8,1,2024-03-10 13:18:52.670
17080562,831,סיילין - תמיסה לשבת,1,2024-03-10 13:18:52.670
17067072,2383,שישיית גרביונים לנשים 40 דנייר מלון - colanta -מידה XXL,1,2024-03-10 13:18:52.670
17046241,7449,שתי זוגות גרביון לבן 70 דנייר דיגום עדין collanta מידה 3-4,1,2024-03-10 13:18:52.670
17046241,8132,שתי זוגות גרביון שחור 70 דנייר דיגום עדין  collanta מידה 3-4,1,2024-03-10 13:18:52.670
17077963,7495,שעון יד מחוגים לגבר שחור עם רצועה שחורה רקע לבן - קסיו,1,2024-03-10 13:18:52.670
17042192,7016,שמיניית לבנים צבעוניות ילדים מידה 4-6,1,2024-03-10 13:18:52.670
17082223,5020,זוג גופיות ציצית לילדים - מידה 8,1,2024-03-10 13:18:52.670
